,sd
85024,"{'ATLANTICCITY,NEWJERSEY|ISPARTOF|NEWJERSEY', 'NEWJERSEY|COUNTRY|UNITEDSTATES', 'NEWJERSEY|CAPITAL|TRENTON,NEWJERSEY', 'NEWJERSEY|LARGESTCITY|NEWARK,NEWJERSEY', 'UNITEDSTATES|ETHNICGROUP|NATIVEAMERICANSINTHEUNITEDSTATES'}"
85026,"{'UNITEDSTATES|LEADERTITLE|PRESIDENTOFTHEUNITEDSTATES', 'UNITEDSTATES|LEADER|BARACKOBAMA', 'ALBUQUERQUE,NEWMEXICO|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|LANGUAGE|ENGLISHLANGUAGE', 'ALBUQUERQUE,NEWMEXICO|ISPARTOF|NEWMEXICO'}"
85028,"{'UNITEDSTATES|LEADERTITLE|PRESIDENTOFTHEUNITEDSTATES', 'UNITEDSTATES|LEADER|BARACKOBAMA', 'ALBUQUERQUE,NEWMEXICO|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|LANGUAGE|ENGLISHLANGUAGE', 'ALBUQUERQUE,NEWMEXICO|ISPARTOF|NEWMEXICO'}"
85030,"{'UNITEDSTATES|LANGUAGE|ENGLISHLANGUAGE', 'UNITEDSTATES|DEMONYM|AMERICANS', 'UNITEDSTATES|ETHNICGROUP|ASIANAMERICANS', 'ANGOLA,INDIANA|ISPARTOF|STEUBENCOUNTY,INDIANA', 'ANGOLA,INDIANA|COUNTRY|UNITEDSTATES'}"
85032,"{'UNITEDSTATES|LANGUAGE|ENGLISHLANGUAGE', 'UNITEDSTATES|DEMONYM|AMERICANS', 'UNITEDSTATES|ETHNICGROUP|ASIANAMERICANS', 'ANGOLA,INDIANA|ISPARTOF|STEUBENCOUNTY,INDIANA', 'ANGOLA,INDIANA|COUNTRY|UNITEDSTATES'}"
85034,"{'UNITEDSTATES|LANGUAGE|ENGLISHLANGUAGE', 'UNITEDSTATES|DEMONYM|AMERICANS', 'UNITEDSTATES|ETHNICGROUP|ASIANAMERICANS', 'ANGOLA,INDIANA|ISPARTOF|STEUBENCOUNTY,INDIANA', 'ANGOLA,INDIANA|COUNTRY|UNITEDSTATES'}"
85036,"{'UNITEDSTATES|LEADER|BARACKOBAMA', 'UNITEDSTATES|CAPITAL|WASHINGTON,D.C.', 'AKRON,OHIO|COUNTRY|UNITEDSTATES', 'AKRON,OHIO|ISPARTOF|SUMMITCOUNTY,OHIO', 'UNITEDSTATES|ETHNICGROUP|NATIVEAMERICANSINTHEUNITEDSTATES'}"
85038,"{'UNITEDSTATES|LEADER|BARACKOBAMA', 'UNITEDSTATES|CAPITAL|WASHINGTON,D.C.', 'AKRON,OHIO|COUNTRY|UNITEDSTATES', 'AKRON,OHIO|ISPARTOF|SUMMITCOUNTY,OHIO', 'UNITEDSTATES|ETHNICGROUP|NATIVEAMERICANSINTHEUNITEDSTATES'}"
85040,"{'UNITEDSTATES|LEADERTITLE|PRESIDENTOFTHEUNITEDSTATES', 'ALBANY,GEORGIA|COUNTRY|UNITEDSTATES', 'ALBANY,GEORGIA|ISPARTOF|UNITEDSTATES', 'UNITEDSTATES|DEMONYM|AMERICANS', 'UNITEDSTATES|ETHNICGROUP|AFRICANAMERICANS'}"
85042,"{'UNITEDSTATES|LEADERTITLE|PRESIDENTOFTHEUNITEDSTATES', 'ALBANY,GEORGIA|COUNTRY|UNITEDSTATES', 'ALBANY,GEORGIA|ISPARTOF|UNITEDSTATES', 'UNITEDSTATES|DEMONYM|AMERICANS', 'UNITEDSTATES|ETHNICGROUP|AFRICANAMERICANS'}"
85044,"{'UNITEDSTATES|LEADERTITLE|PRESIDENTOFTHEUNITEDSTATES', 'ALBANY,GEORGIA|COUNTRY|UNITEDSTATES', 'ALBANY,GEORGIA|ISPARTOF|UNITEDSTATES', 'UNITEDSTATES|DEMONYM|AMERICANS', 'UNITEDSTATES|ETHNICGROUP|AFRICANAMERICANS'}"
85046,"{'BAYMAX|CREATOR|STEVENT.SEAGLE', 'BAYMAX|SERIES|BIGHERO6(FILM)', 'BIGHERO6(FILM)|STARRING|ALANTUDYK', 'DUNCANROULEAU|NATIONALITY|AMERICANS', 'BAYMAX|CREATOR|DUNCANROULEAU'}"
85048,"{'BAYMAX|CREATOR|STEVENT.SEAGLE', 'BAYMAX|SERIES|BIGHERO6(FILM)', 'BIGHERO6(FILM)|STARRING|ALANTUDYK', 'DUNCANROULEAU|NATIONALITY|AMERICANS', 'BAYMAX|CREATOR|DUNCANROULEAU'}"
85050,"{'BAYMAX|CREATOR|STEVENT.SEAGLE', 'BAYMAX|SERIES|BIGHERO6(FILM)', 'BIGHERO6(FILM)|STARRING|ALANTUDYK', 'DUNCANROULEAU|NATIONALITY|AMERICANS', 'BAYMAX|CREATOR|DUNCANROULEAU'}"
85052,"{'INDONESIA|LANGUAGE|INDONESIANLANGUAGE', 'AREM-AREM|COUNTRY|INDONESIA', 'INDONESIA|LEADERNAME|JUSUFKALLA', 'AREM-AREM|REGION|NATIONWIDEININDONESIA,BUTMORESPECIFICTOJAVA', 'INDONESIA|CURRENCY|INDONESIANRUPIAH'}"
85054,"{'INDONESIA|LANGUAGE|INDONESIANLANGUAGE', 'AREM-AREM|COUNTRY|INDONESIA', 'INDONESIA|LEADERNAME|JUSUFKALLA', 'AREM-AREM|REGION|NATIONWIDEININDONESIA,BUTMORESPECIFICTOJAVA', 'INDONESIA|CURRENCY|INDONESIANRUPIAH'}"
85056,"{'INDONESIA|LANGUAGE|INDONESIANLANGUAGE', 'AREM-AREM|COUNTRY|INDONESIA', 'INDONESIA|LEADERNAME|JUSUFKALLA', 'AREM-AREM|REGION|NATIONWIDEININDONESIA,BUTMORESPECIFICTOJAVA', 'INDONESIA|CURRENCY|INDONESIANRUPIAH'}"
85058,"{'MALAYSIA|ETHNICGROUP|MALAYSIANMALAY', 'MALAYSIA|ETHNICGROUP|MALAYSIANCHINESE', 'ASAMPEDAS|REGION|SUMATRAANDMALAYPENINSULA', 'MALAYSIA|CAPITAL|KUALALUMPUR', 'ASAMPEDAS|COUNTRY|MALAYSIA'}"
85060,"{'MALAYSIA|ETHNICGROUP|MALAYSIANMALAY', 'MALAYSIA|ETHNICGROUP|MALAYSIANCHINESE', 'ASAMPEDAS|REGION|SUMATRAANDMALAYPENINSULA', 'MALAYSIA|CAPITAL|KUALALUMPUR', 'ASAMPEDAS|COUNTRY|MALAYSIA'}"
85062,"{'MALAYSIA|ETHNICGROUP|MALAYSIANMALAY', 'MALAYSIA|ETHNICGROUP|MALAYSIANCHINESE', 'ASAMPEDAS|REGION|SUMATRAANDMALAYPENINSULA', 'MALAYSIA|CAPITAL|KUALALUMPUR', 'ASAMPEDAS|COUNTRY|MALAYSIA'}"
85064,"{'MALAYSIA|ETHNICGROUP|MALAYSIANMALAY', 'ASAMPEDAS|REGION|SUMATRAANDMALAYPENINSULA', 'MALAYSIA|CAPITAL|KUALALUMPUR', 'ASAMPEDAS|COUNTRY|MALAYSIA', 'MALAYSIA|ETHNICGROUP|MALAYSIANINDIAN'}"
85066,"{'MALAYSIA|ETHNICGROUP|MALAYSIANMALAY', 'ASAMPEDAS|REGION|SUMATRAANDMALAYPENINSULA', 'MALAYSIA|CAPITAL|KUALALUMPUR', 'ASAMPEDAS|COUNTRY|MALAYSIA', 'MALAYSIA|ETHNICGROUP|MALAYSIANINDIAN'}"
85068,"{'MALAYSIA|ETHNICGROUP|MALAYSIANMALAY', 'ASAMPEDAS|REGION|SUMATRAANDMALAYPENINSULA', 'MALAYSIA|CAPITAL|KUALALUMPUR', 'ASAMPEDAS|COUNTRY|MALAYSIA', 'MALAYSIA|ETHNICGROUP|MALAYSIANINDIAN'}"
85070,"{'MALAYSIA|ETHNICGROUP|MALAYSIANMALAY', 'ASAMPEDAS|REGION|SUMATRA', 'MALAYSIA|CAPITAL|KUALALUMPUR', 'ASAMPEDAS|COUNTRY|MALAYSIA', 'MALAYSIA|ETHNICGROUP|MALAYSIANINDIAN'}"
85072,"{'MALAYSIA|ETHNICGROUP|MALAYSIANMALAY', 'ASAMPEDAS|REGION|SUMATRA', 'MALAYSIA|CAPITAL|KUALALUMPUR', 'ASAMPEDAS|COUNTRY|MALAYSIA', 'MALAYSIA|ETHNICGROUP|MALAYSIANINDIAN'}"
85074,"{'MALAYSIA|ETHNICGROUP|MALAYSIANMALAY', 'ASAMPEDAS|REGION|SUMATRA', 'MALAYSIA|CAPITAL|KUALALUMPUR', 'ASAMPEDAS|COUNTRY|MALAYSIA', 'MALAYSIA|ETHNICGROUP|MALAYSIANINDIAN'}"
85076,"{'MALAYSIA|ETHNICGROUP|MALAYSIANMALAY', 'ASAMPEDAS|REGION|MALAYPENINSULA', 'MALAYSIA|LEADERNAME|ABUZAHARUJANG', 'ASAMPEDAS|COUNTRY|MALAYSIA', 'MALAYSIA|ETHNICGROUP|MALAYSIANINDIAN'}"
85078,"{'MALAYSIA|ETHNICGROUP|MALAYSIANMALAY', 'ASAMPEDAS|REGION|MALAYPENINSULA', 'MALAYSIA|LEADERNAME|ABUZAHARUJANG', 'ASAMPEDAS|COUNTRY|MALAYSIA', 'MALAYSIA|ETHNICGROUP|MALAYSIANINDIAN'}"
85080,"{'MALAYSIA|ETHNICGROUP|MALAYSIANMALAY', 'ASAMPEDAS|REGION|MALAYPENINSULA', 'MALAYSIA|LEADERNAME|ABUZAHARUJANG', 'ASAMPEDAS|COUNTRY|MALAYSIA', 'MALAYSIA|ETHNICGROUP|MALAYSIANINDIAN'}"
85082,"{'BACONEXPLOSION|REGION|KANSASCITYMETROPOLITANAREA', 'BACONEXPLOSION|COUNTRY|UNITEDSTATES', 'BACONEXPLOSION|MAININGREDIENTS|SAUSAGE', 'BACONEXPLOSION|INGREDIENT|BACON', 'BACONEXPLOSION|MAININGREDIENTS|BACON,SAUSAGE'}"
85084,"{'BACONEXPLOSION|REGION|KANSASCITYMETROPOLITANAREA', 'BACONEXPLOSION|COUNTRY|UNITEDSTATES', 'BACONEXPLOSION|MAININGREDIENTS|SAUSAGE', 'BACONEXPLOSION|INGREDIENT|BACON', 'BACONEXPLOSION|MAININGREDIENTS|BACON,SAUSAGE'}"
85086,"{'BACONEXPLOSION|REGION|KANSASCITYMETROPOLITANAREA', 'BACONEXPLOSION|COUNTRY|UNITEDSTATES', 'BACONEXPLOSION|MAININGREDIENTS|SAUSAGE', 'BACONEXPLOSION|INGREDIENT|BACON', 'BACONEXPLOSION|MAININGREDIENTS|BACON,SAUSAGE'}"
85088,"{'BACONEXPLOSION|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|LANGUAGE|ENGLISHLANGUAGE', 'UNITEDSTATES|CAPITAL|WASHINGTON,D.C.', 'UNITEDSTATES|ETHNICGROUP|WHITEAMERICANS', 'UNITEDSTATES|LEADERNAME|PAULRYAN'}"
85090,"{'BACONEXPLOSION|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|LANGUAGE|ENGLISHLANGUAGE', 'UNITEDSTATES|CAPITAL|WASHINGTON,D.C.', 'UNITEDSTATES|ETHNICGROUP|WHITEAMERICANS', 'UNITEDSTATES|LEADERNAME|PAULRYAN'}"
85092,"{'BACONSANDWICH|ALTERNATIVENAME|BACONBUTTY,BACONSARNIE,RASHERSANDWICH,BACONSANGER,PIECENBACON,BACONCOB,BACONBARM,BACONMUFFIN', 'BACONSANDWICH|DISHVARIATION|BLT', 'BACONSANDWICH|COUNTRY|UNITEDKINGDOM', 'BACONSANDWICH|MAININGREDIENTS|BREADANDBACON,WITHACONDIMENT,OFTENKETCHUPORBROWNSAUCE', 'BACONSANDWICH|INGREDIENT|KETCHUP'}"
85094,"{'BACONSANDWICH|ALTERNATIVENAME|BACONBUTTY,BACONSARNIE,RASHERSANDWICH,BACONSANGER,PIECENBACON,BACONCOB,BACONBARM,BACONMUFFIN', 'BACONSANDWICH|DISHVARIATION|BLT', 'BACONSANDWICH|COUNTRY|UNITEDKINGDOM', 'BACONSANDWICH|MAININGREDIENTS|BREADANDBACON,WITHACONDIMENT,OFTENKETCHUPORBROWNSAUCE', 'BACONSANDWICH|INGREDIENT|KETCHUP'}"
85096,"{'BACONSANDWICH|ALTERNATIVENAME|BACONBUTTY,BACONSARNIE,RASHERSANDWICH,BACONSANGER,PIECENBACON,BACONCOB,BACONBARM,BACONMUFFIN', 'BACONSANDWICH|DISHVARIATION|BLT', 'BACONSANDWICH|COUNTRY|UNITEDKINGDOM', 'BACONSANDWICH|MAININGREDIENTS|BREADANDBACON,WITHACONDIMENT,OFTENKETCHUPORBROWNSAUCE', 'BACONSANDWICH|INGREDIENT|KETCHUP'}"
85098,"{'FRANCE|LEADERNAME|MANUELVALLS', 'FRANCE|LANGUAGE|FRENCHLANGUAGE', 'BAKEDALASKA|COUNTRY|FRANCE', 'BAKEDALASKA|REGION|HONGKONG', 'FRANCE|LEADERNAME|GERARDLARCHER'}"
85100,"{'FRANCE|LEADERNAME|MANUELVALLS', 'FRANCE|LANGUAGE|FRENCHLANGUAGE', 'BAKEDALASKA|COUNTRY|FRANCE', 'BAKEDALASKA|REGION|HONGKONG', 'FRANCE|LEADERNAME|GERARDLARCHER'}"
85102,"{'FRANCE|LEADERNAME|MANUELVALLS', 'FRANCE|LANGUAGE|FRENCHLANGUAGE', 'BAKEDALASKA|COUNTRY|FRANCE', 'BAKEDALASKA|REGION|HONGKONG', 'FRANCE|LEADERNAME|GERARDLARCHER'}"
85104,"{'ANTIOQUIADEPARTMENT|COUNTRY|COLOMBIA', 'BANDEJAPAISA|INGREDIENT|LEMON', 'BANDEJAPAISA|REGION|ANTIOQUIADEPARTMENT', 'LEMON|ORDER|ROSIDS', 'LEMON|FAMILY|RUTACEAE'}"
85106,"{'ANTIOQUIADEPARTMENT|COUNTRY|COLOMBIA', 'BANDEJAPAISA|INGREDIENT|LEMON', 'BANDEJAPAISA|REGION|ANTIOQUIADEPARTMENT', 'LEMON|ORDER|ROSIDS', 'LEMON|FAMILY|RUTACEAE'}"
85108,"{'BARNYCAKES|COUNTRY|FRANCE', 'FRANCE|LANGUAGE|FRENCHLANGUAGE', 'FRANCE|LEADERNAME|GERARDLARCHER', 'BARNYCAKES|INGREDIENT|SPONGECAKE', 'FRANCE|LEADERNAME|FRANCOISHOLLANDE'}"
85110,"{'BARNYCAKES|COUNTRY|FRANCE', 'FRANCE|LANGUAGE|FRENCHLANGUAGE', 'FRANCE|LEADERNAME|GERARDLARCHER', 'BARNYCAKES|INGREDIENT|SPONGECAKE', 'FRANCE|LEADERNAME|FRANCOISHOLLANDE'}"
85112,"{'BARNYCAKES|COUNTRY|FRANCE', 'FRANCE|LANGUAGE|FRENCHLANGUAGE', 'FRANCE|LEADERNAME|GERARDLARCHER', 'BARNYCAKES|INGREDIENT|SPONGECAKE', 'FRANCE|LEADERNAME|FRANCOISHOLLANDE'}"
85114,"{'BATAGOR|DISHVARIATION|SIOMAY', 'BATAGOR|COUNTRY|INDONESIA', 'BATAGOR|DISHVARIATION|SHUMAI', 'INDONESIA|LEADERNAME|JOKOWIDODO', 'SIOMAY|INGREDIENT|PEANUTSAUCE'}"
85116,"{'BATAGOR|DISHVARIATION|SIOMAY', 'BATAGOR|COUNTRY|INDONESIA', 'BATAGOR|DISHVARIATION|SHUMAI', 'INDONESIA|LEADERNAME|JOKOWIDODO', 'SIOMAY|INGREDIENT|PEANUTSAUCE'}"
85118,"{'BATAGOR|DISHVARIATION|SIOMAY', 'BATAGOR|COUNTRY|INDONESIA', 'BATAGOR|DISHVARIATION|SHUMAI', 'INDONESIA|LEADERNAME|JOKOWIDODO', 'SIOMAY|INGREDIENT|PEANUTSAUCE'}"
85120,"{'BATAGOR|DISHVARIATION|SIOMAY', 'SIOMAY|INGREDIENT|PEANUTSAUCE', 'BATAGOR|COUNTRY|INDONESIA', 'INDONESIA|LEADERNAME|JOKOWIDODO', 'SIOMAY|DISHVARIATION|SHUMAI'}"
85122,"{'BATAGOR|DISHVARIATION|SIOMAY', 'SIOMAY|INGREDIENT|PEANUTSAUCE', 'BATAGOR|COUNTRY|INDONESIA', 'INDONESIA|LEADERNAME|JOKOWIDODO', 'SIOMAY|DISHVARIATION|SHUMAI'}"
85124,"{'BATAGOR|DISHVARIATION|SIOMAY', 'SIOMAY|INGREDIENT|PEANUTSAUCE', 'BATAGOR|COUNTRY|INDONESIA', 'INDONESIA|LEADERNAME|JOKOWIDODO', 'SIOMAY|DISHVARIATION|SHUMAI'}"
85126,"{'SINGAPORE|LEADERNAME|HALIMAHYACOB', 'BEEFKWAYTEOW|REGION|INDONESIA', 'SINGAPORE|LEADERNAME|TONYTAN', 'BEEFKWAYTEOW|COUNTRY|SINGAPORE', 'SINGAPORE|LANGUAGE|STANDARDCHINESE'}"
85128,"{'SINGAPORE|LEADERNAME|HALIMAHYACOB', 'BEEFKWAYTEOW|REGION|INDONESIA', 'SINGAPORE|LEADERNAME|TONYTAN', 'BEEFKWAYTEOW|COUNTRY|SINGAPORE', 'SINGAPORE|LANGUAGE|STANDARDCHINESE'}"
85130,"{'INDIA|CURRENCY|INDIANRUPEE', 'BHAJJI|REGION|KARNATAKA', 'INDIA|LEADERNAME|SUMITRAMAHAJAN', 'KARNATAKA|LEADERNAME|VAJUBHAIVALA', 'BHAJJI|COUNTRY|INDIA'}"
85132,"{'INDIA|CURRENCY|INDIANRUPEE', 'BHAJJI|REGION|KARNATAKA', 'INDIA|LEADERNAME|SUMITRAMAHAJAN', 'KARNATAKA|LEADERNAME|VAJUBHAIVALA', 'BHAJJI|COUNTRY|INDIA'}"
85134,"{'BINIGNIT|REGION|MINDANAO', 'BINIGNIT|COURSE|DESSERT', 'BINIGNIT|INGREDIENT|SWEETPOTATO', 'BINIGNIT|MAININGREDIENTS|BANANA', 'BINIGNIT|COUNTRY|PHILIPPINES'}"
85136,"{'BINIGNIT|REGION|MINDANAO', 'BINIGNIT|COURSE|DESSERT', 'BINIGNIT|INGREDIENT|SWEETPOTATO', 'BINIGNIT|MAININGREDIENTS|BANANA', 'BINIGNIT|COUNTRY|PHILIPPINES'}"
85138,"{'BINIGNIT|REGION|MINDANAO', 'BINIGNIT|COURSE|DESSERT', 'BINIGNIT|INGREDIENT|SWEETPOTATO', 'BINIGNIT|MAININGREDIENTS|BANANA', 'BINIGNIT|COUNTRY|PHILIPPINES'}"
85140,"{'BINIGNIT|COURSE|DESSERT', 'BINIGNIT|REGION|VISAYAS', 'BINIGNIT|INGREDIENT|SWEETPOTATO', 'BINIGNIT|COUNTRY|PHILIPPINES', 'BINIGNIT|MAININGREDIENTS|SAGO'}"
85142,"{'BINIGNIT|COURSE|DESSERT', 'BINIGNIT|REGION|VISAYAS', 'BINIGNIT|INGREDIENT|SWEETPOTATO', 'BINIGNIT|COUNTRY|PHILIPPINES', 'BINIGNIT|MAININGREDIENTS|SAGO'}"
85144,"{'BIONICO|COURSE|DESSERT', 'BIONICO|INGREDIENT|RAISIN', 'BIONICO|MAININGREDIENTS|CHOPPEDFRUITS,SOURCREAM,CONDENSEDMILK,GRANOLA,SHREDDEDCOCONUT,RAISINS', 'BIONICO|COUNTRY|MEXICO', 'BIONICO|REGION|JALISCO'}"
85146,"{'BIONICO|COURSE|DESSERT', 'BIONICO|INGREDIENT|RAISIN', 'BIONICO|MAININGREDIENTS|CHOPPEDFRUITS,SOURCREAM,CONDENSEDMILK,GRANOLA,SHREDDEDCOCONUT,RAISINS', 'BIONICO|COUNTRY|MEXICO', 'BIONICO|REGION|JALISCO'}"
85148,"{'BIONICO|COURSE|DESSERT', 'BIONICO|DISHVARIATION|COTTAGECHEESE', 'MEXICO|LANGUAGE|SPANISHLANGUAGE', 'BIONICO|COUNTRY|MEXICO', 'MEXICO|LEADERNAME|SILVANOAUREOLESCONEJO'}"
85150,"{'BIONICO|COURSE|DESSERT', 'BIONICO|DISHVARIATION|COTTAGECHEESE', 'MEXICO|LANGUAGE|SPANISHLANGUAGE', 'BIONICO|COUNTRY|MEXICO', 'MEXICO|LEADERNAME|SILVANOAUREOLESCONEJO'}"
85152,"{'BIONICO|COURSE|DESSERT', 'BIONICO|DISHVARIATION|COTTAGECHEESE', 'MEXICO|LANGUAGE|SPANISHLANGUAGE', 'BIONICO|COUNTRY|MEXICO', 'MEXICO|LEADERNAME|SILVANOAUREOLESCONEJO'}"
85154,"{'DESSERT|DISHVARIATION|CAKE', 'BIONICO|COURSE|DESSERT', 'BIONICO|COUNTRY|MEXICO', 'MEXICO|LEADERNAME|SILVANOAUREOLESCONEJO', 'MEXICO|LANGUAGE|MEXICANSPANISH'}"
85156,"{'DESSERT|DISHVARIATION|CAKE', 'BIONICO|COURSE|DESSERT', 'BIONICO|COUNTRY|MEXICO', 'MEXICO|LEADERNAME|SILVANOAUREOLESCONEJO', 'MEXICO|LANGUAGE|MEXICANSPANISH'}"
85158,"{'DERBYSHIREDALES|ADMINISTRATIVECOUNTY|DERBYSHIRE', 'BAKEWELLTART|INGREDIENT|FRUITPRESERVES', 'BAKEWELLPUDDING|DISHVARIATION|BAKEWELLTART', 'DERBYSHIREDALES|LEADERNAME|PATRICKMCLOUGHLIN', 'BAKEWELLTART|REGION|DERBYSHIREDALES'}"
85160,"{'DERBYSHIREDALES|ADMINISTRATIVECOUNTY|DERBYSHIRE', 'BAKEWELLTART|INGREDIENT|FRUITPRESERVES', 'BAKEWELLPUDDING|DISHVARIATION|BAKEWELLTART', 'DERBYSHIREDALES|LEADERNAME|PATRICKMCLOUGHLIN', 'BAKEWELLTART|REGION|DERBYSHIREDALES'}"
85162,"{'ITALY|DEMONYM|ITALIANS', 'AMATRICIANASAUCE|COUNTRY|ITALY', 'ITALY|LEADERNAME|LAURABOLDRINI', 'ITALY|LEADERNAME|SERGIOMATTARELLA', 'ITALY|CAPITAL|ROME'}"
85164,"{'ITALY|DEMONYM|ITALIANS', 'AMATRICIANASAUCE|COUNTRY|ITALY', 'ITALY|LEADERNAME|LAURABOLDRINI', 'ITALY|LEADERNAME|SERGIOMATTARELLA', 'ITALY|CAPITAL|ROME'}"
85166,"{'AMATRICIANASAUCE|COUNTRY|ITALY', 'ITALY|LEADERNAME|PIETROGRASSO', 'ITALY|LEADERNAME|SERGIOMATTARELLA', 'ITALY|CAPITAL|ROME', 'ITALY|LANGUAGE|ITALIANLANGUAGE'}"
85168,"{'AMATRICIANASAUCE|COUNTRY|ITALY', 'ITALY|LEADERNAME|PIETROGRASSO', 'ITALY|LEADERNAME|SERGIOMATTARELLA', 'ITALY|CAPITAL|ROME', 'ITALY|LANGUAGE|ITALIANLANGUAGE'}"
85170,"{'AYAMPENYET|REGION|SINGAPORE', 'AYAMPENYET|COUNTRY|JAVA', 'SINGAPORE|LEADERNAME|TONYTAN', 'SINGAPORE|LANGUAGE|STANDARDCHINESE', 'JAVA|ETHNICGROUP|BADUY'}"
85172,"{'AYAMPENYET|REGION|SINGAPORE', 'AYAMPENYET|COUNTRY|JAVA', 'SINGAPORE|LEADERNAME|TONYTAN', 'SINGAPORE|LANGUAGE|STANDARDCHINESE', 'JAVA|ETHNICGROUP|BADUY'}"
85174,"{'JAVA|ETHNICGROUP|JAVANESEPEOPLE', 'AYAMPENYET|REGION|SINGAPORE', 'SINGAPORE|LANGUAGE|ENGLISHLANGUAGE', 'AYAMPENYET|COUNTRY|JAVA', 'SINGAPORE|LEADERNAME|TONYTAN'}"
85176,"{'JAVA|ETHNICGROUP|JAVANESEPEOPLE', 'AYAMPENYET|REGION|SINGAPORE', 'SINGAPORE|LANGUAGE|ENGLISHLANGUAGE', 'AYAMPENYET|COUNTRY|JAVA', 'SINGAPORE|LEADERNAME|TONYTAN'}"
85178,"{'DESSERT|DISHVARIATION|CAKE', 'BIONICO|COURSE|DESSERT', 'MEXICO|LEADERNAME|SILVANOAUREOLESCONEJO', 'BIONICO|REGION|GUADALAJARA', 'GUADALAJARA|COUNTRY|MEXICO'}"
85180,"{'DESSERT|DISHVARIATION|CAKE', 'BIONICO|COURSE|DESSERT', 'MEXICO|LEADERNAME|SILVANOAUREOLESCONEJO', 'BIONICO|REGION|GUADALAJARA', 'GUADALAJARA|COUNTRY|MEXICO'}"
85182,"{'DESSERT|DISHVARIATION|CAKE', 'BIONICO|COURSE|DESSERT', 'MEXICO|LEADERNAME|SILVANOAUREOLESCONEJO', 'BIONICO|REGION|GUADALAJARA', 'GUADALAJARA|COUNTRY|MEXICO'}"
85184,"{'PHILIPPINES|ETHNICGROUP|ZAMBOANGANS', 'PHILIPPINES|OFFICIALLANGUAGE|PHILIPPINEENGLISH', 'PHILIPPINES|LANGUAGE|ARABIC', 'PHILIPPINES|ETHNICGROUP|CHINESEFILIPINO', 'BATCHOY|COUNTRY|PHILIPPINES'}"
85186,"{'PHILIPPINES|ETHNICGROUP|ZAMBOANGANS', 'PHILIPPINES|OFFICIALLANGUAGE|PHILIPPINEENGLISH', 'PHILIPPINES|LANGUAGE|ARABIC', 'PHILIPPINES|ETHNICGROUP|CHINESEFILIPINO', 'BATCHOY|COUNTRY|PHILIPPINES'}"
85188,"{'PHILIPPINES|ETHNICGROUP|ZAMBOANGANS', 'PHILIPPINES|OFFICIALLANGUAGE|PHILIPPINEENGLISH', 'PHILIPPINES|LANGUAGE|ARABIC', 'PHILIPPINES|ETHNICGROUP|CHINESEFILIPINO', 'BATCHOY|COUNTRY|PHILIPPINES'}"
85190,"{'AJOBLANCO|REGION|ANDALUSIA', 'AJOBLANCO|COUNTRY|SPAIN', 'SPAIN|LANGUAGE|SPANISHLANGUAGE', 'ANDALUSIA|LEADERNAME|SUSANADIAZ', 'SPAIN|ETHNICGROUP|SPANIARDS'}"
85192,"{'AJOBLANCO|REGION|ANDALUSIA', 'AJOBLANCO|COUNTRY|SPAIN', 'SPAIN|LANGUAGE|SPANISHLANGUAGE', 'ANDALUSIA|LEADERNAME|SUSANADIAZ', 'SPAIN|ETHNICGROUP|SPANIARDS'}"
85194,"{'AJOBLANCO|REGION|ANDALUSIA', 'AJOBLANCO|COUNTRY|SPAIN', 'SPAIN|LANGUAGE|SPANISHLANGUAGE', 'ANDALUSIA|LEADERNAME|SUSANADIAZ', 'SPAIN|ETHNICGROUP|SPANIARDS'}"
85196,"{'AIDASTELLA|OWNER|COSTACROCIERE', 'AIDACRUISES|LOCATION|GERMANY', 'COSTACROCIERE|PARENTCOMPANY|CARNIVALCORPORATION&PLC', 'AIDASTELLA|OPERATOR|AIDACRUISES', 'AIDASTELLA|BUILDER|MEYERWERFT'}"
85198,"{'AIDASTELLA|OWNER|COSTACROCIERE', 'AIDACRUISES|LOCATION|GERMANY', 'COSTACROCIERE|PARENTCOMPANY|CARNIVALCORPORATION&PLC', 'AIDASTELLA|OPERATOR|AIDACRUISES', 'AIDASTELLA|BUILDER|MEYERWERFT'}"
85200,"{'AIDASTELLA|OWNER|COSTACROCIERE', 'AIDACRUISES|LOCATION|GERMANY', 'COSTACROCIERE|PARENTCOMPANY|CARNIVALCORPORATION&PLC', 'AIDASTELLA|OPERATOR|AIDACRUISES', 'AIDASTELLA|BUILDER|MEYERWERFT'}"
85202,"{'ALCORS-3|BUILDDATE|MAY1950-AUGUST1956', 'ALCORS-3|ENGINE|FOUR-STROKEENGINE', 'ALCORS-3|CYLINDERCOUNT|12', 'ALCORS-3|BUILDER|AMERICANLOCOMOTIVECOMPANY', 'ALCORS-3|LENGTH|17068.8(MILLIMETRES)'}"
85204,"{'ALCORS-3|BUILDDATE|MAY1950-AUGUST1956', 'ALCORS-3|ENGINE|FOUR-STROKEENGINE', 'ALCORS-3|CYLINDERCOUNT|12', 'ALCORS-3|BUILDER|AMERICANLOCOMOTIVECOMPANY', 'ALCORS-3|LENGTH|17068.8(MILLIMETRES)'}"
