,sd
81724,"{'WILLIAMANDERS|ALMAMATER|AFIT,M.S.1962', 'WILLIAMANDERS|STATUS|RETIRED'}"
81726,"{'WILLIAMANDERS|ALMAMATER|AFIT,M.S.1962', 'WILLIAMANDERS|STATUS|RETIRED'}"
81728,"{'WILLIAMANDERS|ALMAMATER|AFIT,M.S.1962', 'WILLIAMANDERS|STATUS|RETIRED'}"
81744,{'AFONSOPENAINTERNATIONALAIRPORT|CITYSERVED|CURITIBA'}
81746,{'AFONSOPENAINTERNATIONALAIRPORT|CITYSERVED|CURITIBA'}
81820,"{'103HERA|APOAPSIS|437170000.0(KILOMETRES)', 'JAMESCRAIGWATSON|DEATHPLACE|MADISON,WISCONSIN', 'JAMESCRAIGWATSON|NATIONALITY|CANADA', '103HERA|DISCOVERER|JAMESCRAIGWATSON'}"
81822,"{'103HERA|APOAPSIS|437170000.0(KILOMETRES)', 'JAMESCRAIGWATSON|DEATHPLACE|MADISON,WISCONSIN', 'JAMESCRAIGWATSON|NATIONALITY|CANADA', '103HERA|DISCOVERER|JAMESCRAIGWATSON'}"
81824,"{'103HERA|APOAPSIS|437170000.0(KILOMETRES)', 'JAMESCRAIGWATSON|DEATHPLACE|MADISON,WISCONSIN', 'JAMESCRAIGWATSON|NATIONALITY|CANADA', '103HERA|DISCOVERER|JAMESCRAIGWATSON'}"
82128,{'CANADA|LANGUAGE|SLAVEYLANGUAGE'}
82130,{'CANADA|LANGUAGE|SLAVEYLANGUAGE'}
82132,{'CANADA|LANGUAGE|SLAVEYLANGUAGE'}
82208,"{'ITALY|DEMONYM|ITALIANS', 'ITALY|LEADER|SERGIOMATTARELLA', 'ITALY|CAPITAL|ROME', 'ITALY|OFFICIALLANGUAGE|ITALIANLANGUAGE', 'A.S.GUBBIO1910|GROUND|ITALY'}"
82210,"{'ITALY|DEMONYM|ITALIANS', 'ITALY|LEADER|SERGIOMATTARELLA', 'ITALY|CAPITAL|ROME', 'ITALY|OFFICIALLANGUAGE|ITALIANLANGUAGE', 'A.S.GUBBIO1910|GROUND|ITALY'}"
82212,"{'ITALY|DEMONYM|ITALIANS', 'ITALY|LEADER|SERGIOMATTARELLA', 'ITALY|CAPITAL|ROME', 'ITALY|OFFICIALLANGUAGE|ITALIANLANGUAGE', 'A.S.GUBBIO1910|GROUND|ITALY'}"
82246,"{'ALFONSGORBACH|DEATHPLACE|GRAZ', 'ALFONSGORBACH|DEATHPLACE|STYRIA', 'ALFONSGORBACH|BIRTHPLACE|AUSTRIA-HUNGARY', 'ALFONSGORBACH|BIRTHPLACE|AUSTRIA', 'ALFONSGORBACH|PARTY|AUSTRIANPEOPLESPARTY'}"
82248,"{'ALFONSGORBACH|DEATHPLACE|GRAZ', 'ALFONSGORBACH|DEATHPLACE|STYRIA', 'ALFONSGORBACH|BIRTHPLACE|AUSTRIA-HUNGARY', 'ALFONSGORBACH|BIRTHPLACE|AUSTRIA', 'ALFONSGORBACH|PARTY|AUSTRIANPEOPLESPARTY'}"
82250,"{'ALFONSGORBACH|DEATHPLACE|GRAZ', 'ALFONSGORBACH|DEATHPLACE|STYRIA', 'ALFONSGORBACH|BIRTHPLACE|AUSTRIA-HUNGARY', 'ALFONSGORBACH|BIRTHPLACE|AUSTRIA', 'ALFONSGORBACH|PARTY|AUSTRIANPEOPLESPARTY'}"
82252,{'UNITEDSTATES|ETHNICGROUP|ASIANAMERICANS'}
82254,{'UNITEDSTATES|ETHNICGROUP|ASIANAMERICANS'}
82256,{'UNITEDSTATES|ETHNICGROUP|ASIANAMERICANS'}
82374,{'107CAMILLA|DISCOVERER|A.STORRS'}
82376,{'107CAMILLA|DISCOVERER|A.STORRS'}
82378,{'107CAMILLA|DISCOVERER|A.STORRS'}
82536,"{'BIONICO|COURSE|DESSERT', 'BIONICO|INGREDIENT|GRANOLA', 'BIONICO|COUNTRY|MEXICO'}"
82538,"{'BIONICO|COURSE|DESSERT', 'BIONICO|INGREDIENT|GRANOLA', 'BIONICO|COUNTRY|MEXICO'}"
82540,"{'ALVISCARANDENGINEERINGCOMPANY|SUCCESSOR|ROVERCOMPANY', 'ALVISCARANDENGINEERINGCOMPANY|FOUNDATIONPLACE|COVENTRY', 'ALVISSPEED25|MANUFACTURER|ALVISCARANDENGINEERINGCOMPANY', 'ALVISSPEED25|ENGINE|STRAIGHT-SIXENGINE'}"
82542,"{'ALVISCARANDENGINEERINGCOMPANY|SUCCESSOR|ROVERCOMPANY', 'ALVISCARANDENGINEERINGCOMPANY|FOUNDATIONPLACE|COVENTRY', 'ALVISSPEED25|MANUFACTURER|ALVISCARANDENGINEERINGCOMPANY', 'ALVISSPEED25|ENGINE|STRAIGHT-SIXENGINE'}"
82544,"{'ALVISCARANDENGINEERINGCOMPANY|SUCCESSOR|ROVERCOMPANY', 'ALVISCARANDENGINEERINGCOMPANY|FOUNDATIONPLACE|COVENTRY', 'ALVISSPEED25|MANUFACTURER|ALVISCARANDENGINEERINGCOMPANY', 'ALVISSPEED25|ENGINE|STRAIGHT-SIXENGINE'}"
82662,{'ARROSNEGRE|REGION|CATALONIA'}
82664,{'ARROSNEGRE|REGION|CATALONIA'}
82672,"{'ROCKMUSIC|STYLISTICORIGIN|BLUES', 'ROCKMUSIC|STYLISTICORIGIN|COUNTRYMUSIC', 'ALANDERSON(NRBQBAND)|GENRE|ROCKMUSIC', 'ROCKMUSIC|MUSICFUSIONGENRE|BHANGRA(MUSIC)', 'COUNTRYMUSIC|INSTRUMENT|BANJO'}"
82674,"{'ROCKMUSIC|STYLISTICORIGIN|BLUES', 'ROCKMUSIC|STYLISTICORIGIN|COUNTRYMUSIC', 'ALANDERSON(NRBQBAND)|GENRE|ROCKMUSIC', 'ROCKMUSIC|MUSICFUSIONGENRE|BHANGRA(MUSIC)', 'COUNTRYMUSIC|INSTRUMENT|BANJO'}"
82824,{'ELLIOTSEE|STATUS|DECEASED'}
82826,{'ELLIOTSEE|STATUS|DECEASED'}
82828,{'ELLIOTSEE|STATUS|DECEASED'}
82836,"{'ADAMKOC|BATTLES|POLISH-SOVIETWAR', 'POLISH-SOVIETWAR|COMMANDER|LEONTROTSKY', 'POLISH-SOVIETWAR|ISPARTOFMILITARYCONFLICT|RUSSIANCIVILWAR'}"
82838,"{'ADAMKOC|BATTLES|POLISH-SOVIETWAR', 'POLISH-SOVIETWAR|COMMANDER|LEONTROTSKY', 'POLISH-SOVIETWAR|ISPARTOFMILITARYCONFLICT|RUSSIANCIVILWAR'}"
82840,"{'ADAMKOC|BATTLES|POLISH-SOVIETWAR', 'POLISH-SOVIETWAR|COMMANDER|LEONTROTSKY', 'POLISH-SOVIETWAR|ISPARTOFMILITARYCONFLICT|RUSSIANCIVILWAR'}"
82848,{'ALANBEAN|NATIONALITY|UNITEDSTATES'}
82850,{'ALANBEAN|NATIONALITY|UNITEDSTATES'}
82852,{'ALANBEAN|NATIONALITY|UNITEDSTATES'}
82854,{'ALANBEAN|NATIONALITY|UNITEDSTATES'}
82856,{'ALANBEAN|NATIONALITY|UNITEDSTATES'}
82932,"{'GENERALDYNAMICSELECTRICBOAT|PARENTCOMPANY|GENERALDYNAMICS', 'AMERICANSUBMARINENR-1|BUILDER|GENERALDYNAMICSELECTRICBOAT'}"
82934,"{'GENERALDYNAMICSELECTRICBOAT|PARENTCOMPANY|GENERALDYNAMICS', 'AMERICANSUBMARINENR-1|BUILDER|GENERALDYNAMICSELECTRICBOAT'}"
82936,"{'GENERALDYNAMICSELECTRICBOAT|PARENTCOMPANY|GENERALDYNAMICS', 'AMERICANSUBMARINENR-1|BUILDER|GENERALDYNAMICSELECTRICBOAT'}"
82990,"{'AGNESKANT|NATIONALITY|NETHERLANDS', 'AGNESKANT|OFFICE(WORKEDAT,WORKEDAS)|PARLIAMENTARYGROUPLEADER', 'NETHERLANDS|LEADERNAME|MARKRUTTE'}"
82992,"{'AGNESKANT|NATIONALITY|NETHERLANDS', 'AGNESKANT|OFFICE(WORKEDAT,WORKEDAS)|PARLIAMENTARYGROUPLEADER', 'NETHERLANDS|LEADERNAME|MARKRUTTE'}"
82994,"{'AGNESKANT|NATIONALITY|NETHERLANDS', 'AGNESKANT|OFFICE(WORKEDAT,WORKEDAS)|PARLIAMENTARYGROUPLEADER', 'NETHERLANDS|LEADERNAME|MARKRUTTE'}"
83088,"{'ALOYALCHARACTERDANCER|OCLCNUMBER|49805501', 'ALOYALCHARACTERDANCER|AUTHOR|QIUXIAOLONG', 'ALOYALCHARACTERDANCER|ISBNNUMBER|1-56947-301-3'}"
83090,"{'ALOYALCHARACTERDANCER|OCLCNUMBER|49805501', 'ALOYALCHARACTERDANCER|AUTHOR|QIUXIAOLONG', 'ALOYALCHARACTERDANCER|ISBNNUMBER|1-56947-301-3'}"
83092,"{'ALOYALCHARACTERDANCER|OCLCNUMBER|49805501', 'ALOYALCHARACTERDANCER|AUTHOR|QIUXIAOLONG', 'ALOYALCHARACTERDANCER|ISBNNUMBER|1-56947-301-3'}"
83236,"{'ADAMMCQUAID|BIRTHYEAR|1986', 'ADAMMCQUAID|BIRTHPLACE|PRINCEEDWARDISLAND', 'ADAMMCQUAID|BIRTHDATE|1986-10-12', 'ADAMMCQUAID|WEIGHT|94.8024(KILOGRAMS)'}"
83238,"{'ADAMMCQUAID|BIRTHYEAR|1986', 'ADAMMCQUAID|BIRTHPLACE|PRINCEEDWARDISLAND', 'ADAMMCQUAID|BIRTHDATE|1986-10-12', 'ADAMMCQUAID|WEIGHT|94.8024(KILOGRAMS)'}"
83240,"{'ADAMMCQUAID|BIRTHYEAR|1986', 'ADAMMCQUAID|BIRTHPLACE|PRINCEEDWARDISLAND', 'ADAMMCQUAID|BIRTHDATE|1986-10-12', 'ADAMMCQUAID|WEIGHT|94.8024(KILOGRAMS)'}"
83244,"{'ATLANTICCITY,NEWJERSEY|AREATOTAL|44.125(SQUAREKILOMETRES)'}"
83246,"{'ATLANTICCITY,NEWJERSEY|AREATOTAL|44.125(SQUAREKILOMETRES)'}"
83248,"{'ATLANTICCITY,NEWJERSEY|AREATOTAL|44.125(SQUAREKILOMETRES)'}"
83252,"{'DELTAII|LAUNCHSITE|VANDENBERGAFBSPACELAUNCHCOMPLEX2', 'DELTAII|COUNTRYORIGIN|UNITEDSTATES', 'ANTARES(ROCKET)|COMPARABLE|DELTAII'}"
83254,"{'DELTAII|LAUNCHSITE|VANDENBERGAFBSPACELAUNCHCOMPLEX2', 'DELTAII|COUNTRYORIGIN|UNITEDSTATES', 'ANTARES(ROCKET)|COMPARABLE|DELTAII'}"
83256,"{'DELTAII|LAUNCHSITE|VANDENBERGAFBSPACELAUNCHCOMPLEX2', 'DELTAII|COUNTRYORIGIN|UNITEDSTATES', 'ANTARES(ROCKET)|COMPARABLE|DELTAII'}"
83276,"{'AUBURN,WASHINGTON|AREATOTAL|77.41(SQUAREKILOMETRES)'}"
83278,"{'AUBURN,WASHINGTON|AREATOTAL|77.41(SQUAREKILOMETRES)'}"
83280,"{'AUBURN,WASHINGTON|AREATOTAL|77.41(SQUAREKILOMETRES)'}"
83294,"{'BLT|INGREDIENT|LETTUCE', 'BACONSANDWICH|DISHVARIATION|BLT', 'BLT|DISHVARIATION|CLUBSANDWICH'}"
83296,"{'BLT|INGREDIENT|LETTUCE', 'BACONSANDWICH|DISHVARIATION|BLT', 'BLT|DISHVARIATION|CLUBSANDWICH'}"
83318,{'JORGEHUMBERTORODRIGUEZ|CLUB|FCDALLAS'}
83320,{'JORGEHUMBERTORODRIGUEZ|CLUB|FCDALLAS'}
83322,{'JORGEHUMBERTORODRIGUEZ|CLUB|FCDALLAS'}
83346,"{'DISTINGUISHEDSERVICEMEDAL(UNITEDSTATESNAVY)|HIGHER|DEPARTMENTOFCOMMERCEGOLDMEDAL', 'ALANSHEPARD|BIRTHPLACE|NEWHAMPSHIRE', 'ALANSHEPARD|NATIONALITY|UNITEDSTATES', 'ALANSHEPARD|DEATHPLACE|CALIFORNIA', 'ALANSHEPARD|AWARDS|DISTINGUISHEDSERVICEMEDAL(UNITEDSTATESNAVY)'}"
83410,{'PETERLAIRD|NATIONALITY|UNITEDSTATES'}
83412,{'PETERLAIRD|NATIONALITY|UNITEDSTATES'}
83542,{'ALEKSANDRPRUDNIKOV|CLUB|FCAMKARPERM'}
83544,{'ALEKSANDRPRUDNIKOV|CLUB|FCAMKARPERM'}
83560,"{'ACHARYAINSTITUTEOFTECHNOLOGY|NUMBEROFPOSTGRADUATESTUDENTS|700', 'ACHARYAINSTITUTEOFTECHNOLOGY|AFFILIATION|VISVESVARAYATECHNOLOGICALUNIVERSITY', 'ACHARYAINSTITUTEOFTECHNOLOGY|PRESIDENT|B.M.REDDY', 'ACHARYAINSTITUTEOFTECHNOLOGY|COUNTRY|INDIA', 'ACHARYAINSTITUTEOFTECHNOLOGY|CITY|BANGALORE'}"
83562,"{'ACHARYAINSTITUTEOFTECHNOLOGY|NUMBEROFPOSTGRADUATESTUDENTS|700', 'ACHARYAINSTITUTEOFTECHNOLOGY|AFFILIATION|VISVESVARAYATECHNOLOGICALUNIVERSITY', 'ACHARYAINSTITUTEOFTECHNOLOGY|PRESIDENT|B.M.REDDY', 'ACHARYAINSTITUTEOFTECHNOLOGY|COUNTRY|INDIA', 'ACHARYAINSTITUTEOFTECHNOLOGY|CITY|BANGALORE'}"
83564,"{'ACHARYAINSTITUTEOFTECHNOLOGY|NUMBEROFPOSTGRADUATESTUDENTS|700', 'ACHARYAINSTITUTEOFTECHNOLOGY|AFFILIATION|VISVESVARAYATECHNOLOGICALUNIVERSITY', 'ACHARYAINSTITUTEOFTECHNOLOGY|PRESIDENT|B.M.REDDY', 'ACHARYAINSTITUTEOFTECHNOLOGY|COUNTRY|INDIA', 'ACHARYAINSTITUTEOFTECHNOLOGY|CITY|BANGALORE'}"
83650,"{'AGRAAIRPORT|OPERATINGORGANISATION|INDIANAIRFORCE', 'AGRAAIRPORT|LOCATION|UTTARPRADESH', 'AGRAAIRPORT|ICAOLOCATIONIDENTIFIER|VIAG'}"
83652,"{'AGRAAIRPORT|OPERATINGORGANISATION|INDIANAIRFORCE', 'AGRAAIRPORT|LOCATION|UTTARPRADESH', 'AGRAAIRPORT|ICAOLOCATIONIDENTIFIER|VIAG'}"
83654,"{'AGRAAIRPORT|OPERATINGORGANISATION|INDIANAIRFORCE', 'AGRAAIRPORT|LOCATION|UTTARPRADESH', 'AGRAAIRPORT|ICAOLOCATIONIDENTIFIER|VIAG'}"
83794,"{'1097VICIA|EPOCH|2006-12-31', '1097VICIA|ORBITALPERIOD|135589000.0', '1097VICIA|MASS|9.8(KILOGRAMS)', '1097VICIA|APOAPSIS|511592000.0(KILOMETRES)'}"
83796,"{'1097VICIA|EPOCH|2006-12-31', '1097VICIA|ORBITALPERIOD|135589000.0', '1097VICIA|MASS|9.8(KILOGRAMS)', '1097VICIA|APOAPSIS|511592000.0(KILOMETRES)'}"
83798,"{'1097VICIA|EPOCH|2006-12-31', '1097VICIA|ORBITALPERIOD|135589000.0', '1097VICIA|MASS|9.8(KILOGRAMS)', '1097VICIA|APOAPSIS|511592000.0(KILOMETRES)'}"
83800,"{'ALLENFORREST|BACKGROUND|SOLOSINGER', 'ALLENFORREST|BIRTHPLACE|DOTHAN,ALABAMA', 'ALLENFORREST|GENRE|RHYTHMANDBLUES'}"
83802,"{'ALLENFORREST|BACKGROUND|SOLOSINGER', 'ALLENFORREST|BIRTHPLACE|DOTHAN,ALABAMA', 'ALLENFORREST|GENRE|RHYTHMANDBLUES'}"
83804,"{'ALLENFORREST|BACKGROUND|SOLOSINGER', 'ALLENFORREST|BIRTHPLACE|DOTHAN,ALABAMA', 'ALLENFORREST|GENRE|RHYTHMANDBLUES'}"
83846,{'JALISCO|LEADERNAME|ARISTOTELESSANDOVAL'}
83848,{'JALISCO|LEADERNAME|ARISTOTELESSANDOVAL'}
83850,{'JALISCO|LEADERNAME|ARISTOTELESSANDOVAL'}
83910,{'ASTONMARTINVIRAGE|MANUFACTURER|ASTONMARTIN'}
83912,{'ASTONMARTINVIRAGE|MANUFACTURER|ASTONMARTIN'}
83914,{'ASTONMARTINVIRAGE|MANUFACTURER|ASTONMARTIN'}
83950,"{'SINGAPORE|LEADERNAME|HALIMAHYACOB', 'SINGAPORE|LANGUAGE|STANDARDCHINESE', 'SINGAPORE|LEADERNAME|TONYTAN', 'BEEFKWAYTEOW|COUNTRY|SINGAPORE', 'BEEFKWAYTEOW|REGION|INDONESIA'}"
83952,"{'SINGAPORE|LEADERNAME|HALIMAHYACOB', 'SINGAPORE|LANGUAGE|STANDARDCHINESE', 'SINGAPORE|LEADERNAME|TONYTAN', 'BEEFKWAYTEOW|COUNTRY|SINGAPORE', 'BEEFKWAYTEOW|REGION|INDONESIA'}"
83976,"{'ROCKMUSIC|MUSICFUSIONGENRE|BHANGRA(MUSIC)', 'ALANFREW|GENRE|ROCKMUSIC'}"
83978,"{'ROCKMUSIC|MUSICFUSIONGENRE|BHANGRA(MUSIC)', 'ALANFREW|GENRE|ROCKMUSIC'}"
83980,"{'ROCKMUSIC|MUSICFUSIONGENRE|BHANGRA(MUSIC)', 'ALANFREW|GENRE|ROCKMUSIC'}"
84034,{'SCHOOLOFBUSINESSANDSOCIALSCIENCESATTHEAARHUSUNIVERSITY|DEAN|THOMASPALLESEN'}
84036,{'SCHOOLOFBUSINESSANDSOCIALSCIENCESATTHEAARHUSUNIVERSITY|DEAN|THOMASPALLESEN'}
84038,{'SCHOOLOFBUSINESSANDSOCIALSCIENCESATTHEAARHUSUNIVERSITY|DEAN|THOMASPALLESEN'}
84040,{'SCHOOLOFBUSINESSANDSOCIALSCIENCESATTHEAARHUSUNIVERSITY|DEAN|THOMASPALLESEN'}
84060,"{'ALASADAIRBASE|LOCATION|IRAQ', 'IRAQ|LANGUAGE|ARABIC'}"
84062,"{'ALASADAIRBASE|LOCATION|IRAQ', 'IRAQ|LANGUAGE|ARABIC'}"
84064,"{'ALASADAIRBASE|LOCATION|IRAQ', 'IRAQ|LANGUAGE|ARABIC'}"
84088,"{'AKITA,AKITA|ISPARTOF|AKITAPREFECTURE', 'AKITAMUSEUMOFART|LOCATION|AKITA,AKITA', 'JAPAN|ETHNICGROUP|FILIPINOSINJAPAN', 'AKITAMUSEUMOFART|COUNTRY|JAPAN'}"
84090,"{'AKITA,AKITA|ISPARTOF|AKITAPREFECTURE', 'AKITAMUSEUMOFART|LOCATION|AKITA,AKITA', 'JAPAN|ETHNICGROUP|FILIPINOSINJAPAN', 'AKITAMUSEUMOFART|COUNTRY|JAPAN'}"
84092,"{'AKITA,AKITA|ISPARTOF|AKITAPREFECTURE', 'AKITAMUSEUMOFART|LOCATION|AKITA,AKITA', 'JAPAN|ETHNICGROUP|FILIPINOSINJAPAN', 'AKITAMUSEUMOFART|COUNTRY|JAPAN'}"
84114,"{'BIGHERO6(FILM)|STARRING|ALANTUDYK', 'BAYMAX|FIRSTAPPEARANCEINFILM|BIGHERO6(FILM)'}"
84116,"{'BIGHERO6(FILM)|STARRING|ALANTUDYK', 'BAYMAX|FIRSTAPPEARANCEINFILM|BIGHERO6(FILM)'}"
84136,{'ALFAROMEO164|ASSEMBLY|ARESE'}
84324,"{'ALLENFORREST|GENRE|ACOUSTICMUSIC', 'ALLENFORREST|BACKGROUND|SOLOSINGER', 'ALLENFORREST|BIRTHYEAR|1981', 'ALLENFORREST|BIRTHPLACE|FORTCAMPBELL'}"
84326,"{'ALLENFORREST|GENRE|ACOUSTICMUSIC', 'ALLENFORREST|BACKGROUND|SOLOSINGER', 'ALLENFORREST|BIRTHYEAR|1981', 'ALLENFORREST|BIRTHPLACE|FORTCAMPBELL'}"
84328,"{'ALLENFORREST|GENRE|ACOUSTICMUSIC', 'ALLENFORREST|BACKGROUND|SOLOSINGER', 'ALLENFORREST|BIRTHYEAR|1981', 'ALLENFORREST|BIRTHPLACE|FORTCAMPBELL'}"
84358,"{'ANDALUSIA|LEADERNAME|SUSANADIAZ', 'SPAIN|LEADERNAME|FELIPEVIOFSPAIN', 'AJOBLANCO|COUNTRY|SPAIN', 'AJOBLANCO|REGION|ANDALUSIA'}"
84360,"{'ANDALUSIA|LEADERNAME|SUSANADIAZ', 'SPAIN|LEADERNAME|FELIPEVIOFSPAIN', 'AJOBLANCO|COUNTRY|SPAIN', 'AJOBLANCO|REGION|ANDALUSIA'}"
84448,{'SHUMAI|COUNTRY|CHINA'}
84450,{'SHUMAI|COUNTRY|CHINA'}
84490,"{'ALLANSHIVERS|BIRTHPLACE|LUFKIN,TEXAS', 'ALLANSHIVERS|OFFICE(WORKEDAT,WORKEDAS)|MEMBEROFTHETEXASSTATESENATEFROMDISTRICT4(PORTARTHUR)'}"
84492,"{'ALLANSHIVERS|BIRTHPLACE|LUFKIN,TEXAS', 'ALLANSHIVERS|OFFICE(WORKEDAT,WORKEDAS)|MEMBEROFTHETEXASSTATESENATEFROMDISTRICT4(PORTARTHUR)'}"
84494,"{'ALLANSHIVERS|BIRTHPLACE|LUFKIN,TEXAS', 'ALLANSHIVERS|OFFICE(WORKEDAT,WORKEDAS)|MEMBEROFTHETEXASSTATESENATEFROMDISTRICT4(PORTARTHUR)'}"
84540,"{'SOHOPRESS|COUNTRY|UNITEDSTATES', 'ALOYALCHARACTERDANCER|PUBLISHER|SOHOPRESS', 'UNITEDSTATES|LANGUAGE|ENGLISHLANGUAGE', 'UNITEDSTATES|ETHNICGROUP|ASIANAMERICANS', 'ENGLISHLANGUAGE|SPOKENIN|GREATBRITAIN'}"
84542,"{'SOHOPRESS|COUNTRY|UNITEDSTATES', 'ALOYALCHARACTERDANCER|PUBLISHER|SOHOPRESS', 'UNITEDSTATES|LANGUAGE|ENGLISHLANGUAGE', 'UNITEDSTATES|ETHNICGROUP|ASIANAMERICANS', 'ENGLISHLANGUAGE|SPOKENIN|GREATBRITAIN'}"
84544,"{'BUZZALDRIN|WASSELECTEDBYNASA|1963', 'BUZZALDRIN|OCCUPATION|FIGHTERPILOT', 'BUZZALDRIN|BIRTHDATE|1930-01-20', 'BUZZALDRIN|BIRTHPLACE|GLENRIDGE,NEWJERSEY', 'BUZZALDRIN|WASACREWMEMBEROF|APOLLO11', 'BUZZALDRIN|ALMAMATER|MASSACHUSETTSINSTITUTEOFTECHNOLOGY,SC.D.1963'}"
84556,"{'1089TAMA|FORMERNAME|A894VAA904VD', '1089TAMA|EPOCH|2005-11-26', '1089TAMA|ORBITALPERIOD|1202.846(DAYS)'}"
84558,"{'1089TAMA|FORMERNAME|A894VAA904VD', '1089TAMA|EPOCH|2005-11-26', '1089TAMA|ORBITALPERIOD|1202.846(DAYS)'}"
84560,"{'1089TAMA|FORMERNAME|A894VAA904VD', '1089TAMA|EPOCH|2005-11-26', '1089TAMA|ORBITALPERIOD|1202.846(DAYS)'}"
84598,"{'HOUSTONTEXANS|CITY|TEXAS', 'AKEEMDENT|FORMERTEAM|HOUSTONTEXANS', 'AKEEMDENT|DEBUTTEAM|ATLANTAFALCONS', 'HOUSTONTEXANS|CITY|HOUSTON'}"
84600,"{'HOUSTONTEXANS|CITY|TEXAS', 'AKEEMDENT|FORMERTEAM|HOUSTONTEXANS', 'AKEEMDENT|DEBUTTEAM|ATLANTAFALCONS', 'HOUSTONTEXANS|CITY|HOUSTON'}"
84602,"{'HOUSTONTEXANS|CITY|TEXAS', 'AKEEMDENT|FORMERTEAM|HOUSTONTEXANS', 'AKEEMDENT|DEBUTTEAM|ATLANTAFALCONS', 'HOUSTONTEXANS|CITY|HOUSTON'}"
84634,"{'ACFFIORENTINA|FULLNAME|ACFFIORENTINAS.P.A.', 'ACFFIORENTINA|NUMBEROFMEMBERS|47290'}"
84636,"{'ACFFIORENTINA|FULLNAME|ACFFIORENTINAS.P.A.', 'ACFFIORENTINA|NUMBEROFMEMBERS|47290'}"
84638,"{'ACFFIORENTINA|FULLNAME|ACFFIORENTINAS.P.A.', 'ACFFIORENTINA|NUMBEROFMEMBERS|47290'}"
84682,"{'ASEVEREDWASP|LANGUAGE|ENGLISHLANGUAGE', 'ENGLISHLANGUAGE|SPOKENIN|GREATBRITAIN'}"
84684,"{'ASEVEREDWASP|LANGUAGE|ENGLISHLANGUAGE', 'ENGLISHLANGUAGE|SPOKENIN|GREATBRITAIN'}"
84686,"{'JOHNMADIN|BIRTHPLACE|BIRMINGHAM', '103COLMOREROW|ARCHITECT|JOHNMADIN', 'BIRMINGHAM|LEADERNAME|JOHNCLANCY(LABOURPOLITICIAN)', 'BIRMINGHAM|POSTALCODE|BPOSTCODEAREA', 'BIRMINGHAM|GOVERNINGBODY|BIRMINGHAMCITYCOUNCIL'}"
84688,"{'JOHNMADIN|BIRTHPLACE|BIRMINGHAM', '103COLMOREROW|ARCHITECT|JOHNMADIN', 'BIRMINGHAM|LEADERNAME|JOHNCLANCY(LABOURPOLITICIAN)', 'BIRMINGHAM|POSTALCODE|BPOSTCODEAREA', 'BIRMINGHAM|GOVERNINGBODY|BIRMINGHAMCITYCOUNCIL'}"
84690,"{'JOHNMADIN|BIRTHPLACE|BIRMINGHAM', '103COLMOREROW|ARCHITECT|JOHNMADIN', 'BIRMINGHAM|LEADERNAME|JOHNCLANCY(LABOURPOLITICIAN)', 'BIRMINGHAM|POSTALCODE|BPOSTCODEAREA', 'BIRMINGHAM|GOVERNINGBODY|BIRMINGHAMCITYCOUNCIL'}"
84724,"{'ALEXANDRIA,INDIANA|POPULATIONDENSITY|755.3(INHABITANTSPERSQUAREKILOMETRE)', 'ALEXANDRIA,INDIANA|ELEVATIONABOVETHESEALEVEL|265.0', 'ALEXANDRIA,INDIANA|AREATOTAL|6.81(SQUAREKILOMETRES)'}"
84726,"{'ALEXANDRIA,INDIANA|POPULATIONDENSITY|755.3(INHABITANTSPERSQUAREKILOMETRE)', 'ALEXANDRIA,INDIANA|ELEVATIONABOVETHESEALEVEL|265.0', 'ALEXANDRIA,INDIANA|AREATOTAL|6.81(SQUAREKILOMETRES)'}"
84728,"{'ALEXANDRIA,INDIANA|POPULATIONDENSITY|755.3(INHABITANTSPERSQUAREKILOMETRE)', 'ALEXANDRIA,INDIANA|ELEVATIONABOVETHESEALEVEL|265.0', 'ALEXANDRIA,INDIANA|AREATOTAL|6.81(SQUAREKILOMETRES)'}"
84792,{'AGUSTINBARBOZA|GENRE|GUARANIA(MUSIC)'}
84794,{'AGUSTINBARBOZA|GENRE|GUARANIA(MUSIC)'}
84814,"{'CATALONIA|LEADERNAME|PARLIAMENTOFCATALONIA', 'ARROSNEGRE|REGION|CATALONIA', 'SPAIN|ETHNICGROUP|SPANIARDS', 'ARROSNEGRE|COUNTRY|SPAIN'}"
84816,"{'CATALONIA|LEADERNAME|PARLIAMENTOFCATALONIA', 'ARROSNEGRE|REGION|CATALONIA', 'SPAIN|ETHNICGROUP|SPANIARDS', 'ARROSNEGRE|COUNTRY|SPAIN'}"
84818,"{'CATALONIA|LEADERNAME|PARLIAMENTOFCATALONIA', 'ARROSNEGRE|REGION|CATALONIA', 'SPAIN|ETHNICGROUP|SPANIARDS', 'ARROSNEGRE|COUNTRY|SPAIN'}"
84822,{'FRANKDEBOER|CLUB|FCBARCELONA'}
84824,{'FRANKDEBOER|CLUB|FCBARCELONA'}
84894,"{'AMSTERDAMAIRPORTSCHIPHOL|1STRUNWAYSURFACETYPE|ASPHALT', 'AMSTERDAMAIRPORTSCHIPHOL|ELEVATIONABOVETHESEALEVEL(INMETRES)|-3.3528'}"
84896,"{'AMSTERDAMAIRPORTSCHIPHOL|1STRUNWAYSURFACETYPE|ASPHALT', 'AMSTERDAMAIRPORTSCHIPHOL|ELEVATIONABOVETHESEALEVEL(INMETRES)|-3.3528'}"
